label,strain,UAB
GCF_000339535,21,0
GCF_000340155,24,0
GCF_006386535,35,0
GCF_015670115,1001095IJ_161003_G6,0
GCF_028325945,1001095st1_C11_1001095IJ_161003,0
GCF_028326165,1001174st1_D5_RTP21191_200730,0
GCF_028326145,1001174st1_D8_RTP21191_200730,0
GCF_028326125,1001174st1_F4_RTP21191_200730,0
GCF_015668935,1001270H_150608_B10,0
GCF_028326065,1001270st1_A5_1001270J_160509,0
GCF_015556125,1001287H_170206_C7,0
GCF_001069835,1002_SMUT,0
GCF_001068415,1006_SMUT,0
GCF_000339695,11A1,0
GCF_000339715,11SSST2,0
GCF_000339255,11VS1,0
GCF_000339515,14D,0
GCF_000339155,15JP3,0
GCF_000339235,15VF2,0
GCF_000340095,1ID3,0
GCF_000339655,1SM1,0
GCF_014842815,27-3,0
GCF_000339195,2ST1,0
GCF_000339735,2VS1,0
GCF_000339675,3SN1,0
GCF_000339175,4SM1,0
GCF_000339215,4VF1,0
GCF_000339275,5SM3,0
GCF_000340115,66-2A,0
GCF_000339595,8ID3,0
GCF_026782885,A14000335,0
GCF_026782845,A14000387,0
GCF_026782825,A15000357,0
GCF_026782805,A16000882,0
GCF_000339775,A19,0
GCF_000339315,A9,0
GCF_001703615,AD01,0
GCF_027683265,AF36-21BH,0
GCF_027658645,AM109-45,0
GCF_003466855,AM44-1,0
GCF_001625005,ATCC 55676,0
GCF_000339555,B,0
GCF_000522765,B04Sm5,0
GCF_014621675,B04Sm5,0
GCF_000522565,B05Sm11,0
GCF_000522805,B06Sm2,0
GCF_000522665,B07Sm2,0
GCF_000522785,B082SM-A,0
GCF_000522625,B084SM-A,0
GCF_000522685,B09Sm1,0
GCF_000522725,B102SM-B,0
GCF_000522645,B107SM-B,0
GCF_000522905,B111SM-A,0
GCF_000522745,B112SM-A,0
GCF_000522925,B114SM-A,0
GCF_000522945,B115SM-A,0
GCF_026782785,B12305014,0
GCF_000522605,B12Sm1,0
GCF_026782765,B13010740,0
GCF_000522585,B13Sm1,0
GCF_026782745,B15029983,0
GCF_000522865,B16 P Sm1,0
GCF_026782725,B16012112,0
GCF_026782705,B16869671,0
GCF_000522885,B23Sm1,0
GCF_000522705,B24Sm2,0
GCF_021013185,B30,0
GCF_000522825,B85SM-B,0
GCF_000522845,B88SM-A,0
GCF_901875565,BgEED33,0
GCF_029071925,CIM3001,0
GCF_024762195,COCC33-14,0
GCF_024762175,COCC33-14R,0
GCF_028325405,D40st1_F5_D40t1_170626,0
GCF_015670285,D40t1_170626_E1,0
GCF_015669655,D53t1_180928_E8,0
GCF_000375505,DSM 20523,0
GCF_018619415,E681,0
GCF_019048645,FDAARGOS 1458,0
GCF_002083175,FDAARGOS_258,0
GCF_012273155,FDAARGOS_685,0
GCF_000339815,G123,0
GCF_000271865,GS-5,0
GCF_002157665,HM,0
GCF_002155285,KCOM 1054,0
GCF_000347835,KK23,0
GCF_020531125,KSM10,0
GCF_020529965,KSM101,0
GCF_020529995,KSM103,0
GCF_020529445,KSM104,0
GCF_020529385,KSM105,0
GCF_020529945,KSM106,0
GCF_020529915,KSM108,0
GCF_020529705,KSM110,0
GCF_020529405,KSM112,0
GCF_020529255,KSM114,0
GCF_020529325,KSM115,0
GCF_020529305,KSM117,0
GCF_020529685,KSM119,0
GCF_020530845,KSM120,0
GCF_020531625,KSM121,0
GCF_020529225,KSM123,0
GCF_020529245,KSM124,0
GCF_020531665,KSM126,0
GCF_020530685,KSM128,0
GCF_020530645,KSM129,0
GCF_020531085,KSM13,0
GCF_020531635,KSM131,0
GCF_020531605,KSM133,0
GCF_020531585,KSM135,0
GCF_020531565,KSM137,0
GCF_020530585,KSM138,0
GCF_020530665,KSM140,0
GCF_020530545,KSM146,0
GCF_020530565,KSM147,0
GCF_020530605,KSM148,0
GCF_020531325,KSM15,0
GCF_020530905,KSM150,0
GCF_020530865,KSM151,0
GCF_020530795,KSM152,0
GCF_020530785,KSM153,0
GCF_020531485,KSM154,0
GCF_020531505,KSM155,0
GCF_020530805,KSM157,0
GCF_020531545,KSM159,0
GCF_020531305,KSM16,0
GCF_020531465,KSM162,0
GCF_020529795,KSM163,0
GCF_020530525,KSM164,0
GCF_020531445,KSM166,0
GCF_020531525,KSM167,0
GCF_020531205,KSM17,0
GCF_020530925,KSM170,0
GCF_020529565,KSM171,0
GCF_020529765,KSM172,0
GCF_020530465,KSM173,0
GCF_020530875,KSM175,0
GCF_020529845,KSM177,0
GCF_020529825,KSM178,0
GCF_020531225,KSM18,0
GCF_020529525,KSM180,0
GCF_020529785,KSM182,0
GCF_020529725,KSM183,0
GCF_020530445,KSM185,0
GCF_020529485,KSM187,0
GCF_020530745,KSM188,0
GCF_020530495,KSM189,0
GCF_020531245,KSM19,0
GCF_020530485,KSM191,0
GCF_020529885,KSM193,0
GCF_020529665,KSM195,0
GCF_020529745,KSM197,0
GCF_020529465,KSM199,0
GCF_020531285,KSM2,0
GCF_020529495,KSM200,0
GCF_020529865,KSM203,0
GCF_020529595,KSM205,0
GCF_020530725,KSM207,0
GCF_020529905,KSM215,0
GCF_020530705,KSM219,0
GCF_020530985,KSM22,0
GCF_020530765,KSM223,0
GCF_020529645,KSM225,0
GCF_020529585,KSM227,0
GCF_020529625,KSM229,0
GCF_020529545,KSM231,0
GCF_020531425,KSM236,0
GCF_020531405,KSM238,0
GCF_020531165,KSM25,0
GCF_020530965,KSM26,0
GCF_020531185,KSM27,0
GCF_020531105,KSM28,0
GCF_020531145,KSM29,0
GCF_020531355,KSM3,0
GCF_020531065,KSM30,0
GCF_020530945,KSM31,0
GCF_020531005,KSM32,0
GCF_020530125,KSM34,0
GCF_020531045,KSM37,0
GCF_020531025,KSM43,0
GCF_020530165,KSM51,0
GCF_020530075,KSM53,0
GCF_020530245,KSM55,0
GCF_020530185,KSM56,0
GCF_020530145,KSM58,0
GCF_020531345,KSM6,0
GCF_020530625,KSM60,0
GCF_020529275,KSM62,0
GCF_020530425,KSM65,0
GCF_020530105,KSM66,0
GCF_020530025,KSM72,0
GCF_020530065,KSM74,0
GCF_020530305,KSM76,0
GCF_020530045,KSM77,0
GCF_020530345,KSM78,0
GCF_020531385,KSM8,0
GCF_020530355,KSM80,0
GCF_020530285,KSM83,0
GCF_020529345,KSM85,0
GCF_020530405,KSM87,0
GCF_020531255,KSM9,0
GCF_020530365,KSM90,0
GCF_020529365,KSM92,0
GCF_020530225,KSM94,0
GCF_020530325,KSM95,0
GCF_020530255,KSM96,0
GCF_020530205,KSM97,0
GCF_020529985,KSM98,0
GCF_020529415,KSM99,0
GCF_003691695,LAB761,0
GCF_002995555,LAR01,0
GCF_000284575,LJ23,0
GCF_000339835,M21,0
GCF_000339135,M230,0
GCF_000339935,M2A,0
GCF_008831325,MD,0
GCF_902365065,MGYG-HGUT-00277,0
GCF_000339335,N29,0
GCF_000339955,N3209,0
GCF_000339855,N34,0
GCF_000339975,N66,0
GCF_006739205,NBRC 13955,0
GCF_009738105,NCH105,0
GCF_900475095,NCTC10449,0
GCF_900636835,NCTC10832,0
GCF_900459345,NCTC10923,0
GCF_000339395,NFSM1,0
GCF_000339295,NFSM2,0
GCF_001558215,NG8,0
GCF_000340075,NLML1,0
GCF_000339875,NLML4,0
GCF_000339895,NLML5,0
GCF_000339495,NLML8,0
GCF_000339915,NLML9,0
GCF_000339355,NMT4863,0
GCF_000091645,NN2025,0
GCF_000339415,NV1996,0
GCF_000339755,NVAB,0
GCF_000339635,OMZ175,0
GCF_011765545,P1,0
GCF_011765525,P6,0
GCF_002213065,PKUSS-1,0
GCF_002213035,PKUSS-10,0
GCF_002212965,PKUSS-11,0
GCF_002212855,PKUSS-2,0
GCF_002213005,PKUSS-3,0
GCF_002212885,PKUSS-4,0
GCF_002212905,PKUSS-5,0
GCF_002212845,PKUSS-6,0
GCF_002212995,PKUSS-7,0
GCF_002212925,PKUSS-8,0
GCF_002212935,PKUSS-9,0
GCF_000496535,PKUSS-HG01,0
GCF_000496555,PKUSS-LG01,0
GCF_000339115,R221,0
GCF_028326035,RTP21191st1_H7_RTP21191_200730,0
GCF_011765505,S1,0
GCF_000339055,S1B,0
GCF_023109585,S38,0
GCF_011765485,S4,0
GCF_000339615,SA38,0
GCF_000339075,SA41,0
GCF_000340015,SF1,0
GCF_000339095,SF12,0
GCF_000339435,SF14,0
GCF_000339575,SM1,0
GCF_000340135,SM4,0
GCF_000339455,SM6,0
GCF_003172975,Sobrinus,0
GCF_000340035,ST1,0
GCF_000340055,ST6,0
GCF_000339375,T4,0
GCF_008831345,T8,0
GCF_000228745,TCI-101,0
GCF_000228765,TCI-109,0
GCF_000228785,TCI-11,0
GCF_000228805,TCI-110,0
GCF_000228825,TCI-116,0
GCF_000228845,TCI-120,0
GCF_000228865,TCI-123,0
GCF_000228885,TCI-125,0
GCF_000228905,TCI-138,0
GCF_000228925,TCI-143,0
GCF_000228945,TCI-145,0
GCF_000228965,TCI-146,0
GCF_000228985,TCI-148,0
GCF_000229005,TCI-149,0
GCF_000229025,TCI-151,0
GCF_000229045,TCI-152,0
GCF_000229065,TCI-153,0
GCF_000229085,TCI-154,0
GCF_000229105,TCI-162,0
GCF_000229125,TCI-163,0
GCF_000229145,TCI-164,0
GCF_000229165,TCI-169,0
GCF_000229185,TCI-170,0
GCF_000229205,TCI-173,0
GCF_000229225,TCI-176,0
GCF_000229245,TCI-177,0
GCF_000229265,TCI-179,0
GCF_000229285,TCI-187,0
GCF_000229305,TCI-191,0
GCF_000229325,TCI-196,0
GCF_000229345,TCI-201,0
GCF_000229365,TCI-202,0
GCF_000229385,TCI-204,0
GCF_000229405,TCI-210,0
GCF_000229425,TCI-212,0
GCF_000229445,TCI-218,0
GCF_000229465,TCI-219,0
GCF_000229485,TCI-220,0
GCF_000229505,TCI-222,0
GCF_000229525,TCI-223,0
GCF_000229545,TCI-224,0
GCF_000229565,TCI-227,0
GCF_000229585,TCI-228,0
GCF_000229605,TCI-234,0
GCF_000229625,TCI-239,0
GCF_000229645,TCI-242,0
GCF_000229665,TCI-243,0
GCF_000229685,TCI-244,0
GCF_000229705,TCI-249,0
GCF_000229725,TCI-256,0
GCF_000229745,TCI-260,0
GCF_000229765,TCI-264,0
GCF_000229785,TCI-267,0
GCF_000229805,TCI-268,0
GCF_000229825,TCI-278,0
GCF_000229845,TCI-279,0
GCF_000229865,TCI-280,0
GCF_000229885,TCI-289,0
GCF_000229905,TCI-292,0
GCF_000229925,TCI-294,0
GCF_000229945,TCI-298,0
GCF_000229965,TCI-30,0
GCF_000229985,TCI-399,0
GCF_000230005,TCI-400,0
GCF_000230025,TCI-51,0
GCF_000230045,TCI-62,0
GCF_000230065,TCI-70,0
GCF_000230085,TCI-75,0
GCF_000230105,TCI-78,0
GCF_000230125,TCI-82,0
GCF_000230145,TCI-85,0
GCF_000230165,TCI-86,0
GCF_000230185,TCI-92,0
GCF_000230205,TCI-96,0
GCF_000230225,TCI-99,0
GCF_000339795,U138,0
GCF_000339475,U2A,0
GCF_000340175,U2B,0
GCF_024762155,UA-159,0
GCF_008831365,UA140,0
GCF_012641085,UA140,0
GCF_000007465,UA159,0
GCF_000817065,UA159-FR,0
GCF_012642405,UAB-1,1
GCF_012642225,UAB-10,1
GCF_012641665,UAB-11,1
GCF_012641625,UAB-12,1
GCF_012641605,UAB-13,1
GCF_012641615,UAB-14,1
GCF_012641575,UAB-15,1
GCF_012641565,UAB-16,1
GCF_012642205,UAB-17,1
GCF_012642185,UAB-18,1
GCF_012642165,UAB-19,1
GCF_012642365,UAB-2,1
GCF_012642145,UAB-20,1
GCF_012642125,UAB-21,1
GCF_012642105,UAB-22,1
GCF_012641545,UAB-23,1
GCF_012642085,UAB-24,1
GCF_012642055,UAB-25,1
GCF_012642035,UAB-26,1
GCF_012642015,UAB-27,1
GCF_012642005,UAB-28,1
GCF_012641975,UAB-29,1
GCF_012642345,UAB-3,1
GCF_012641965,UAB-30,1
GCF_012641935,UAB-31,1
GCF_012641925,UAB-32,1
GCF_012641905,UAB-33,1
GCF_012641855,UAB-34,1
GCF_012641885,UAB-35,1
GCF_012641825,UAB-36,1
GCF_012641845,UAB-37,1
GCF_012641765,UAB-38,1
GCF_012641775,UAB-39,1
GCF_012642355,UAB-4,1
GCF_012641805,UAB-40,1
G09_spades_contigs,UAB-41,1
G18_spades_contigs,UAB-42,1
GCF_012642325,UAB-5,1
GCF_012642305,UAB-6,1
GCF_012642275,UAB-7,1
GCF_012642265,UAB-8,1
GCF_012642235,UAB-9,1
GCF_000339995,W6,0
GCF_026782685,Y16035778,0